tweet_id,query,query_type,tweet_text,user_id,tweet_date,language,location,screen_name,followers_count,friends_count,time_zone
769000000000000000    ,user_timeline,user_data,#CHICAGO: Police activity @ State/Lake St.,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,#CHICAGO: Accident @ 87th/Stony Island Ave.,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,#CHICAGOLAND DRIVE TIMES @ 4:30PM: Range from 25-65 MINUTES. https://t.co/zGqni7UGtG,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,#CHICAGO: Accident @ 65th/Washtenaw Ave.,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,LONG GROVE: Accident @ IL-22/Old McHenry Rd.,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,#CTA RED LINE: WEEKEND WORK https://t.co/fOxl96KkLY,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,"#METRA: An OB @metraMED train due into University Park @ 4:30pm is STOPPED @ Hazelcrest, due to a mechanical problem.",WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,#ELMHURST: Accident @ IL-83/St. Charles Rd.,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,EB I-80: A crash near IL-7/Larkin Ave BLOCKS the left lane. https://t.co/1EHfUd6oWV,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,#CHICAGO: Police activity @ 64th/Calumet Ave. https://t.co/hnOkz0spaT,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,#CHICAGOLAND DRIVE TIMES @ 4PM: Range from 20-65 MINUTES. https://t.co/KA6ZmtS2n1,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,#CHICAGO: ROADWORK REMINDER https://t.co/jaLluR0489,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,#CHICAGO: Accident @ Cermak/Loomis St.,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,NB IL-394: A crash near Sauk Trail BLOCKS ALL LANES... Only the shoulder squeezes by. https://t.co/eOhJTjZ3P4,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
769000000000000000    ,user_timeline,user_data,#CHICAGOLAND DRIVE TIMES @ 3:30PM: Range from 20-60 MINUTES. https://t.co/szjpEYeBBQ,WGNtraffic,25-03-09 10:02,en,"?Chicago, IL",WGN-TV Traffic,13842,3237,Central Time (US & Canada)
